iter	Logloss	Accuracy
312	0.3993712957	0.8066637302
313	0.3992103706	0.8068944542
314	0.3991009583	0.8068839668
315	0.3989720307	0.8070307912
316	0.3988405798	0.8074817518
317	0.3986972815	0.8075237017
318	0.3985746319	0.8076076013
319	0.3984417657	0.8077019884
320	0.398347092	0.8077124759
321	0.3982240837	0.8077544257
322	0.3981478532	0.8077963755
323	0.397982685	0.8077754006
324	0.3978922649	0.8079012501
325	0.3977711715	0.8079117376
326	0.3976663647	0.8079327125
327	0.3975403091	0.808289286
328	0.3974382805	0.8081948989
329	0.3973541861	0.8084885477
330	0.3972723788	0.8086668345
331	0.397173491	0.8085619599
332	0.3970809865	0.8085095226
333	0.3969983814	0.8085095226
334	0.3969079136	0.8087297592
335	0.3968265833	0.8087297592
336	0.3967064493	0.808771709
337	0.3965565864	0.8088031714
338	0.3964744989	0.8088765836
339	0.3963699954	0.8088870711
340	0.3962598202	0.8089499958
341	0.3961715978	0.8090653578
342	0.3960856109	0.8091282826
343	0.3960095827	0.8091702324
344	0.3958942249	0.8091282826
345	0.3957792058	0.8092121822
346	0.3956807702	0.8095372934
347	0.3955774864	0.8096526554
348	0.3954272807	0.8095792432
349	0.3952826373	0.8096841178
350	0.3951366581	0.8100302039
351	0.395059623	0.8103658025
352	0.3949736672	0.8104077523
353	0.3949040644	0.8105545767
354	0.3948408351	0.8105336018
355	0.39475035	0.8107118886
356	0.3946604856	0.810743351
357	0.394618746	0.8107748133
358	0.3945502835	0.8108377381
359	0.3944051856	0.8108272506
360	0.3942986946	0.8109321252
361	0.3942302829	0.8109426126
362	0.3941265214	0.8109321252
363	0.3939654515	0.8110474872
364	0.3938588849	0.8111733367
365	0.3936645106	0.8112782113
366	0.3935711014	0.8113201611
367	0.3934742568	0.8114669855
368	0.3933861424	0.811592835
369	0.3932261471	0.8118340465
370	0.3931357064	0.8119179461
371	0.3930439059	0.811959896
372	0.3929607412	0.8120123332
373	0.3928461943	0.812075258
374	0.3927596753	0.8121486702
375	0.3926663967	0.812326957
376	0.3925946324	0.8124318315
377	0.3924720883	0.8125052437
378	0.3923685309	0.8125681685
379	0.3922618725	0.8125367061
380	0.3921317398	0.8126310932
381	0.3920225219	0.8128408424
382	0.3919605256	0.8128827922
383	0.3919038119	0.8127674302
384	0.3918351843	0.8129352295
385	0.3917790932	0.8128827922
386	0.3917059561	0.8129037671
387	0.3916778211	0.8129037671
388	0.3916136052	0.812924742
389	0.3915298189	0.8129771793
390	0.3914198194	0.812924742
391	0.391325132	0.8130820539
392	0.3911932656	0.8131030288
393	0.3911387618	0.8132079033
394	0.3910674734	0.8132498532
395	0.3909890867	0.813291803
396	0.3908105792	0.8133652152
397	0.3907067762	0.8135749643
398	0.3905801	0.8136903264
399	0.3904843818	0.8137217887
400	0.3904296146	0.8139420253
401	0.3903206596	0.8139210504
402	0.3902611389	0.8140678748
403	0.3901170454	0.8139839752
404	0.3900378063	0.8139944626
405	0.3899729951	0.8140678748
406	0.3898841678	0.8141307996
407	0.3897195365	0.8142042118
408	0.3896125254	0.8143195738
409	0.3894494558	0.8144349358
410	0.3893498874	0.8144034734
411	0.3892425895	0.8144768856
412	0.3891229522	0.8146866348
413	0.3889912238	0.8149278463
414	0.3889075684	0.8150327209
415	0.3888322015	0.8149697961
416	0.388748214	0.8151585703
417	0.3886907314	0.8152844198
418	0.3886412895	0.8153683195
419	0.3885327444	0.8154731941
420	0.3884442535	0.8154836815
421	0.3883274407	0.8156200185
422	0.3882685204	0.8157144056
423	0.388191843	0.8157878178
424	0.3880937616	0.81586123
425	0.388004468	0.8159975669
426	0.3879246984	0.8157878178
427	0.3878727872	0.8158402551
428	0.3877841754	0.8158717174
429	0.387679061	0.8161024415
430	0.3875931186	0.8160604917
431	0.387534712	0.8160604917
432	0.387456003	0.8160709791
433	0.3873877284	0.8161548788
434	0.387313841	0.8160604917
435	0.3872248693	0.8160709791
436	0.387109155	0.8160395167
437	0.3870388361	0.8160604917
438	0.3869878346	0.8161129289
439	0.3869030495	0.8162492659
440	0.3867915209	0.8163856028
441	0.3867149888	0.8163331655
442	0.3866394965	0.8163017032
443	0.3865699306	0.8163960903
444	0.386416603	0.8164380401
445	0.3862731729	0.8164380401
446	0.3861491364	0.816343653
447	0.38609788	0.8163541404
448	0.3860410179	0.8166163269
449	0.3859863434	0.8166163269
450	0.3858866061	0.8164799899
451	0.3857830285	0.8165219398
452	0.3855728272	0.8166373018
453	0.3854793143	0.8166477892
454	0.3853858258	0.8166477892
455	0.385293148	0.8166582767
456	0.3851972542	0.8167421764
457	0.3851119565	0.8167736387
458	0.3849905116	0.816826076
459	0.3849421077	0.816826076
460	0.3848693207	0.8169833879
461	0.3846874978	0.8169938753
462	0.3846084196	0.8172980116
463	0.384522733	0.8174658109
464	0.3844258298	0.8174762983
465	0.3843717432	0.8175392231
466	0.384301326	0.8177804346
467	0.3842393209	0.8178853092
468	0.3841162411	0.8179377465
469	0.3840408491	0.817927259
470	0.3839700491	0.8178748217
471	0.3839185221	0.8178643343
472	0.3837813491	0.8180216461
473	0.383699062	0.8180216461
474	0.3836398346	0.8180845709
475	0.3835571719	0.8181370081
476	0.3834660704	0.8181265207
477	0.3833847127	0.8181894454
478	0.3833076278	0.8181999329
479	0.3831997976	0.8184516318
480	0.3831272578	0.8184516318
481	0.3830539777	0.8184411444
482	0.3829634465	0.818409682
483	0.3829108734	0.8184621193
484	0.3828278379	0.8185669939
485	0.3827579094	0.8184201695
486	0.3826982734	0.8185669939
487	0.3826166142	0.8187033308
488	0.3825057717	0.8189340549
489	0.3824368976	0.8190074671
490	0.3823763752	0.819143804
491	0.3822779575	0.8191857538
492	0.3821913146	0.8192277037
493	0.3821142247	0.8192696535
494	0.382034426	0.8192906284
495	0.3819915115	0.8193430657
496	0.3819070318	0.8193116033
497	0.3818332334	0.8192172162
498	0.3817789984	0.8192172162
499	0.3817126724	0.8193220908
500	0.3816353684	0.8194584277
501	0.3815543257	0.8195213525
502	0.3814918827	0.819510865
503	0.3813420637	0.819510865
504	0.3812435981	0.8195423274
505	0.3811862229	0.8195842772
506	0.3811332088	0.8197415891
507	0.3810796644	0.8197206141
508	0.3809726521	0.8199198758
509	0.3809144543	0.8199513382
510	0.3808352519	0.8199828006
511	0.3807762391	0.8199618257
512	0.380694216	0.8199723131
513	0.3806203059	0.8200352379
514	0.3805508101	0.8200876751
515	0.3804975363	0.8201401124
516	0.3804175523	0.8201715748
517	0.3802525801	0.8201086501
518	0.3801419529	0.8202659619
519	0.3800839365	0.8203288867
520	0.380022969	0.820360349
521	0.3799757111	0.8205596107
522	0.3798843099	0.8207064351
523	0.3798233574	0.8207798473
524	0.3797622643	0.8209056968
525	0.3797011102	0.8209266717
526	0.3796540123	0.8209476466
527	0.3795761898	0.8208952093
528	0.3795022323	0.8209161842
529	0.3794240463	0.8210630086
530	0.3792853822	0.8211259334
531	0.37919457	0.8211678832
532	0.3791535103	0.8212203205
533	0.3790674904	0.821209833
534	0.3790185925	0.8211678832
535	0.3789098275	0.8213356825
536	0.378845747	0.8214510446
537	0.3787737287	0.8214405571
538	0.37868336	0.821576894
539	0.3785668846	0.8216922561
540	0.37852938	0.8217027435
541	0.3784152737	0.8216817686
542	0.3783646783	0.8216398188
543	0.378232676	0.8218076181
544	0.3781639429	0.8219963923
545	0.3780860227	0.8219334676
546	0.377976676	0.8220698045
547	0.3779036632	0.8221117543
548	0.3778424536	0.822195654
549	0.3777636537	0.8222376038
550	0.3776907682	0.8222585787
551	0.3776446791	0.8222271164
552	0.3775601233	0.8224158906
553	0.3775145169	0.8224263781
554	0.3774584243	0.8224368655
555	0.377408208	0.8225312526
556	0.3773567703	0.822562715
557	0.3772662646	0.8224788153
558	0.3772055896	0.8225417401
559	0.377126112	0.8225522275
560	0.3770232504	0.8226675896
561	0.3768978407	0.8226151523
562	0.3768241859	0.8225941774
563	0.3767640101	0.822814414
564	0.3766771156	0.8227619767
565	0.3765098065	0.8225312526
566	0.3764505046	0.8225417401
567	0.3763327378	0.8228249014
568	0.376230739	0.8230661129
569	0.3760975797	0.823045138
570	0.3760499855	0.8230346506
571	0.3760079122	0.8229717258
572	0.3759245639	0.823045138
573	0.3758300385	0.8230766004
574	0.3757470634	0.8232548872
575	0.375699433	0.8234226865
576	0.3755730736	0.8234436614
577	0.3755329539	0.8234856112
578	0.3754886462	0.8236114607
579	0.3754315849	0.823527561
580	0.375356721	0.823412199
581	0.3753008893	0.8235590234
582	0.3751808616	0.8234960987
583	0.3751129126	0.823527561
584	0.3750724899	0.823548536
585	0.3749882799	0.8237163353
586	0.374922359	0.8238841346
587	0.3748386001	0.8237897475
588	0.3747832469	0.823894622
589	0.3746894525	0.8238736471
590	0.3745710369	0.8239994966
591	0.3744764983	0.8240624213
592	0.3743877667	0.824261683
593	0.3743427333	0.8242931454
594	0.3742775537	0.8242302207
595	0.3742035666	0.8243246078
596	0.3740981823	0.8244189949
597	0.3740392278	0.8244399698
598	0.3739158826	0.8244714322
599	0.3738471056	0.8245658193
600	0.3737872916	0.8244714322
601	0.3737205809	0.8244609447
602	0.3736858456	0.8244504573
603	0.373601216	0.8248699555
604	0.3733920338	0.8247545935
605	0.373317975	0.8246811813
606	0.3732576332	0.8248489806
607	0.3731838905	0.8247336186
608	0.3731215031	0.8253209162
609	0.3730331045	0.8253943284
610	0.3729497907	0.8252789664
611	0.3728880085	0.8253943284
612	0.3727679493	0.8253838409
613	0.3726761431	0.8255726152
614	0.3725828495	0.8257089521
615	0.3724946333	0.8258033392
616	0.3724174992	0.8257613894
617	0.3722959131	0.8258977263
618	0.3722230276	0.8259606511
619	0.3721506429	0.8258767514
620	0.3720483951	0.8260550382
621	0.3719101729	0.8260445507
622	0.3718266413	0.8259711385
623	0.3717744959	0.8259082138
624	0.3717132077	0.8259396761
625	0.3716637789	0.8258977263
626	0.3715894798	0.8258767514
627	0.3715338638	0.8258872389
628	0.37143366	0.8260235758
629	0.3713384131	0.8260340633
630	0.3712829661	0.8261284504
631	0.3711977661	0.8264220992
632	0.3711605214	0.8263801493
633	0.3711207391	0.8263591744
634	0.3710555252	0.8264220992
635	0.3710161307	0.8266108734
636	0.3709582765	0.8266423358
637	0.3708628852	0.8265374612
638	0.370732235	0.8266003859
639	0.3705947745	0.8265584361
640	0.3705077519	0.8265164863
641	0.3703860547	0.8268730598
642	0.3703292965	0.826946472
643	0.3702354475	0.8269779344
644	0.37017646	0.8269884218
